1,2,3,4,5,6,7,8,9,10,value
non-markov,N:,3,t:,0.1,g:,0,phi:,0.04,pingjunzhi:,0.008118772
non-markov,N:,3,t:,0.1,g:,0,phi:,0.044,pingjunzhi:,0.008443801
non-markov,N:,3,t:,0.1,g:,0,phi:,0.048,pingjunzhi:,0.008330388
non-markov,N:,3,t:,0.1,g:,0,phi:,0.052,pingjunzhi:,0.008624764
non-markov,N:,3,t:,0.1,g:,0,phi:,0.056,pingjunzhi:,0.007797613
non-markov,N:,3,t:,0.1,g:,0,phi:,0.06,pingjunzhi:,0.007841443
non-markov,N:,3,t:,0.1,g:,0,phi:,0.064,pingjunzhi:,0.007843571
non-markov,N:,3,t:,0.1,g:,0,phi:,0.068,pingjunzhi:,0.007889179
non-markov,N:,3,t:,0.1,g:,0,phi:,0.072,pingjunzhi:,0.008842422
non-markov,N:,3,t:,0.1,g:,0,phi:,0.076,pingjunzhi:,0.007436534
non-markov,N:,3,t:,0.1,g:,0,phi:,0.08,pingjunzhi:,0.008273533
non-markov,N:,3,t:,0.1,g:,0,phi:,0.084,pingjunzhi:,0.008133992
non-markov,N:,3,t:,0.1,g:,0,phi:,0.088,pingjunzhi:,0.008124985
non-markov,N:,3,t:,0.1,g:,0,phi:,0.092,pingjunzhi:,0.00869375
non-markov,N:,3,t:,0.1,g:,0,phi:,0.096,pingjunzhi:,0.008027573
non-markov,N:,3,t:,0.1,g:,0,phi:,0.1,pingjunzhi:,0.007897929
non-markov,N:,3,t:,0.1,g:,0,phi:,0.104,pingjunzhi:,0.008586728
non-markov,N:,3,t:,0.1,g:,0,phi:,0.108,pingjunzhi:,0.008300231
non-markov,N:,3,t:,0.1,g:,0,phi:,0.112,pingjunzhi:,0.008241972
non-markov,N:,3,t:,0.1,g:,0,phi:,0.116,pingjunzhi:,0.007884007
non-markov,N:,3,t:,0.1,g:,0,phi:,0.12,pingjunzhi:,0.009194246
non-markov,N:,3,t:,0.1,g:,0,phi:,0.124,pingjunzhi:,0.010040519
non-markov,N:,3,t:,0.1,g:,0,phi:,0.128,pingjunzhi:,0.00799025
non-markov,N:,3,t:,0.1,g:,0,phi:,0.132,pingjunzhi:,0.009441727
non-markov,N:,3,t:,0.1,g:,0,phi:,0.136,pingjunzhi:,0.008075707
