col1,col2,col3,col4,t,col6,g,col8,col_value
non-markov,N:,3,t:,0.008,g:,0.348,pingjunzhi:,0.002400945
non-markov,N:,3,t:,0.008,g:,0.352,pingjunzhi:,0.003828116
non-markov,N:,3,t:,0.008,g:,0.356,pingjunzhi:,0.002708717
non-markov,N:,3,t:,0.008,g:,0.36,pingjunzhi:,0.00266645
non-markov,N:,3,t:,0.008,g:,0.364,pingjunzhi:,0.003495562
non-markov,N:,3,t:,0.008,g:,0.368,pingjunzhi:,0.003297865
non-markov,N:,3,t:,0.008,g:,0.372,pingjunzhi:,0.003306377
non-markov,N:,3,t:,0.008,g:,0.376,pingjunzhi:,0.002839434
non-markov,N:,3,t:,0.008,g:,0.38,pingjunzhi:,0.004727656
non-markov,N:,3,t:,0.008,g:,0.384,pingjunzhi:,0.003938288
non-markov,N:,3,t:,0.008,g:,0.388,pingjunzhi:,0.002824703
non-markov,N:,3,t:,0.008,g:,0.392,pingjunzhi:,0.00394459
non-markov,N:,3,t:,0.008,g:,0.396,pingjunzhi:,0.003593781
non-markov,N:,3,t:,0.008,g:,0.4,pingjunzhi:,0.004767548
non-markov,N:,3,t:,0.012,g:,0,pingjunzhi:,0.000446153
non-markov,N:,3,t:,0.012,g:,0.004,pingjunzhi:,0.00038663
non-markov,N:,3,t:,0.012,g:,0.008,pingjunzhi:,0.000469936
non-markov,N:,3,t:,0.012,g:,0.012,pingjunzhi:,0.000407741
non-markov,N:,3,t:,0.012,g:,0.016,pingjunzhi:,0.000475695
non-markov,N:,3,t:,0.012,g:,0.02,pingjunzhi:,0.000446062
non-markov,N:,3,t:,0.012,g:,0.024,pingjunzhi:,0.000467666
non-markov,N:,3,t:,0.012,g:,0.028,pingjunzhi:,0.000528938
non-markov,N:,3,t:,0.012,g:,0.032,pingjunzhi:,0.000614069
non-markov,N:,3,t:,0.012,g:,0.036,pingjunzhi:,0.000498633
non-markov,N:,3,t:,0.012,g:,0.04,pingjunzhi:,0.000422541
non-markov,N:,3,t:,0.012,g:,0.044,pingjunzhi:,0.000506469
non-markov,N:,3,t:,0.012,g:,0.048,pingjunzhi:,0.000501363
non-markov,N:,3,t:,0.012,g:,0.052,pingjunzhi:,0.00046633
non-markov,N:,3,t:,0.012,g:,0.056,pingjunzhi:,0.000453269
non-markov,N:,3,t:,0.012,g:,0.06,pingjunzhi:,0.0005927
non-markov,N:,3,t:,0.012,g:,0.064,pingjunzhi:,0.000411811
non-markov,N:,3,t:,0.012,g:,0.068,pingjunzhi:,0.000566972
non-markov,N:,3,t:,0.012,g:,0.072,pingjunzhi:,0.000644539
non-markov,N:,3,t:,0.012,g:,0.076,pingjunzhi:,0.000611096
non-markov,N:,3,t:,0.012,g:,0.08,pingjunzhi:,0.000594697
non-markov,N:,3,t:,0.012,g:,0.084,pingjunzhi:,0.000565445
non-markov,N:,3,t:,0.012,g:,0.088,pingjunzhi:,0.00072575
non-markov,N:,3,t:,0.012,g:,0.092,pingjunzhi:,0.000619527
non-markov,N:,3,t:,0.012,g:,0.096,pingjunzhi:,0.000635881
non-markov,N:,3,t:,0.012,g:,0.1,pingjunzhi:,0.000582468
non-markov,N:,3,t:,0.012,g:,0.104,pingjunzhi:,0.000527921
non-markov,N:,3,t:,0.012,g:,0.108,pingjunzhi:,0.000800064
non-markov,N:,3,t:,0.012,g:,0.112,pingjunzhi:,0.000803645
non-markov,N:,3,t:,0.012,g:,0.116,pingjunzhi:,0.000627542
non-markov,N:,3,t:,0.012,g:,0.12,pingjunzhi:,0.000988992
non-markov,N:,3,t:,0.012,g:,0.124,pingjunzhi:,0.000663823
non-markov,N:,3,t:,0.012,g:,0.128,pingjunzhi:,0.00087247
non-markov,N:,3,t:,0.012,g:,0.132,pingjunzhi:,0.000791205
non-markov,N:,3,t:,0.012,g:,0.136,pingjunzhi:,0.000820091
non-markov,N:,3,t:,0.012,g:,0.14,pingjunzhi:,0.000921213
non-markov,N:,3,t:,0.012,g:,0.144,pingjunzhi:,0.000967573
non-markov,N:,3,t:,0.012,g:,0.148,pingjunzhi:,0.000868142
non-markov,N:,3,t:,0.012,g:,0.152,pingjunzhi:,0.000983058
non-markov,N:,3,t:,0.012,g:,0.156,pingjunzhi:,0.001003481
non-markov,N:,3,t:,0.012,g:,0.16,pingjunzhi:,0.00118591
non-markov,N:,3,t:,0.012,g:,0.164,pingjunzhi:,0.000878445
non-markov,N:,3,t:,0.012,g:,0.168,pingjunzhi:,0.001200122
non-markov,N:,3,t:,0.012,g:,0.172,pingjunzhi:,0.001268503
non-markov,N:,3,t:,0.012,g:,0.176,pingjunzhi:,0.00101828
non-markov,N:,3,t:,0.012,g:,0.18,pingjunzhi:,0.001290557
non-markov,N:,3,t:,0.012,g:,0.184,pingjunzhi:,0.001410408
non-markov,N:,3,t:,0.012,g:,0.188,pingjunzhi:,0.001080077
non-markov,N:,3,t:,0.012,g:,0.192,pingjunzhi:,0.001235775
non-markov,N:,3,t:,0.012,g:,0.196,pingjunzhi:,0.001126068
non-markov,N:,3,t:,0.012,g:,0.2,pingjunzhi:,0.001525947
non-markov,N:,3,t:,0.012,g:,0.204,pingjunzhi:,0.001274101
non-markov,N:,3,t:,0.012,g:,0.208,pingjunzhi:,0.001482567
non-markov,N:,3,t:,0.012,g:,0.212,pingjunzhi:,0.001506194
non-markov,N:,3,t:,0.012,g:,0.216,pingjunzhi:,0.00143248
non-markov,N:,3,t:,0.012,g:,0.22,pingjunzhi:,0.001654685
non-markov,N:,3,t:,0.012,g:,0.224,pingjunzhi:,0.00234704
